discounted_price,actual_price,discount_percentage,rating,rating_count,review_title,main_category,sub_category
399.0,1999.0,80.0,4.5,505.0,"Good,Good,Nice Product,Good looking 👌 good protection for remote control,It's a very good cover..I liked it.,Good,Expensive,Nice",Electronics,"HomeTheater,TV&Video"
210.0,399.0,47.0,4.1,1717.0,"Fast charging cable,Good product,Don't buy,Excellent design and Material quality,  Amazing Charging speed,it support's fast charging and also support android auto for car,Good type c cable in less price,Fast charging not support,NOT A FAST CHARGING CABLE",Computers&Accessories,Accessories&Peripherals
1299.0,1999.0,35.0,3.6,590.0,"Average,As good as original,expensive,Bought it in aug and by oct it is not working.will i get a refund or replacement,A useful compatible product.,Volume button doesn't work at all,Works.,Best Remote,Connect Very Well",Electronics,"HomeTheater,TV&Video"
347.0,999.0,65.0,3.5,1121.0,"Good,Not happy with this product.,👍Quality,Not bad,good to charge at home, not in vehicles,Easy to store and use built in quality of plastic roll could have been better,Good,A useful device.",Computers&Accessories,Accessories&Peripherals
149.0,999.0,85.0,4.0,1313.0,"A well-priced product.,Lenthy cord.,Product is working as expected.,Lengthy cable, works for car dashcam,Product is okay but they give 50rs for giving 5 stars.,Misleading length (1.2m), rest fine,Good Product,Good",Computers&Accessories,Accessories&Peripherals
228.0,899.0,75.0,3.8,132.0,"its not for fast charging as per my use and this don't support in car for android auto.,Great,Can be used as spare in an emergency.,Good,good for car drives,Not worth Doesn't charge,Good one from portronics,Excellent cable",Computers&Accessories,Accessories&Peripherals
1599.0,1999.0,20.0,4.4,1951.0,"Perfect product,Better than the original cable,Better then original,Good,The Very Best,Works absolutely fine,Charging is very slow.,Best Product",Computers&Accessories,Accessories&Peripherals
1499.0,3999.0,63.0,3.7,37.0,"Some buttons not working in first week of purchase,Good,4,Must buy product,Quality of product is wonderful,Very bad experience as I have received a working remove and not being able to return it,Orignal product,Good product and good customer service",Electronics,"HomeTheater,TV&Video"
8499.0,15999.0,47.0,4.3,592.0,"Value for money!! But don't expect Flagship quality.,Good,Good product,Good,God,Value for money,Nice product,Youtub is slow but all perform best",Electronics,"HomeTheater,TV&Video"
20990.0,44990.0,53.0,4.1,1259.0,"Hisense Vivid 4K TV Initial Impressions,Picture quality,Best in class Audio & picture quality,Good products,Amazing,Good,Good product,Good size for small leaving room of 18'*9'6"" ,sound quality is also good for small leaving room.",Electronics,"HomeTheater,TV&Video"
